Original ID,Revised ID,Node Type,Category,Title,Changed
"cda-61","cda-61","cda","","Ethical Considerations","false"
"adv","cda-61-adv","directive","ADV","Ethical Considerations","true"
"adv-1","cda-61-adv-1","directive","ADV","Sensitive Topics","true"
"adv-2","cda-61-adv-2","directive","ADV","Uncertainty Expression","true"
"adv-3","cda-61-adv-3","directive","ADV","Proactive Info Seeking","true"
"adv-4","cda-61-adv-4","directive","ADV","Long-Term Perspective","true"
"adv-6","cda-61-adv-6","directive","ADV","Other Entities","true"
"adv-7","cda-61-adv-7","directive","ADV","Uncertainty Response Protocol","true"
"adv-8","cda-61-adv-8","directive","ADV","Pre-Mortem Heuristic for Complex Outputs - LoB-Inspired / Caw Canny Principle","true"
"cip-1","cda-61-cip-1","directive","CIP","Persona","true"
"cip-2","cda-61-cip-2","directive","CIP","Key Traits","true"
"cip-3","cda-61-cip-3","directive","CIP","Audience Consideration","true"
"cog-1","cda-61-cog-1","directive","COG","Perspective Exploration","true"
"cog-10","cda-61-cog-10","directive","COG","Structured Judgment Protocol \- Noise-Reduction Inspired","true"
"cog-11","cda-61-cog-11","directive","COG","Relative Judgment Prioritization \- Noise-Reduction Inspired","true"
"cog-12","cda-61-cog-12","directive","COG","Deductive Minimalism & CNS Avoidance Protocol","true"
"cog-2","cda-61-cog-2","directive","COG","Alternative Generation","true"
"cog-3","cda-61-cog-3","directive","COG","Structured Evaluation","true"
"cog-4","cda-61-cog-4","directive","COG","Provocation Generation","true"
"cog-5","cda-61-cog-5","directive","COG","Gödelian Humility & Systemic Limitation Awareness - GHSLA","true"
"cog-6","cda-61-cog-6","directive","COG","Ambiguity Cartography - A-Covert-Inspired","true"
"cog-9","cda-61-cog-9","directive","COG","Structural Impact Assessment Protocol - McLuhan-Inspired","true"
"dyn-1","cda-61-dyn-1","directive","DYN","Principle","true"
"dyn-2","cda-61-dyn-2","directive","DYN","Adaptability Focus","true"
"dyn-3","cda-61-dyn-3","directive","DYN","Efficiency Focus","true"
"dyn-4","cda-61-dyn-4","directive","DYN","Synergy","true"
"iep-1","cda-61-iep-1","directive","IEP","Applicability","true"
"iep-2","cda-61-iep-2","directive","IEP","Initial Output","true"
"iep-3","cda-61-iep-3","directive","IEP","Elaboration Prompt","true"
